Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Revenue,Profit,Profit Margin %
CA-2024-100000,2022-04-25,2022-04-26,First Class,CU-1125,Consumer,Europe,Office Supplies,Paper,Paper Model 87,157.84,9,0.0,157.84,72.16,45.72
CA-2022-100001,2022-01-31,2022-02-01,Second Class,CU-1119,Home Office,Emea,Electronics,Accessories,Accessories Model 26,1488.84,9,0.1,1339.96,497.08,37.1
CA-2024-100002,2022-10-12,2022-10-19,Standard Class,CU-1388,Consumer,Latam,Furniture,Bookcases,Bookcases Model 20,401.44,6,0.0,401.44,189.55,47.22
CA-2022-100003,2023-01-03,2023-01-10,First Class,CU-1309,Corporate,North America,Office Supplies,Storage,Storage Model 69,41.82,7,0.0,41.82,13.98,33.43
CA-2024-100004,2023-09-26,2023-10-03,First Class,CU-1295,Consumer,North America,Electronics,Smartphones,Smartphones Model 99,720.9,2,0.0,720.9,173.06,24.01
CA-2023-100005,2022-10-12,2022-10-16,First Class,CU-1083,Corporate,Asia-Pacific,Electronics,Tablets,Tablets Model 90,1885.98,2,0.2,1508.78,206.53,13.69
CA-2024-100006,2024-01-17,2024-01-19,Second Class,CU-1236,Corporate,Asia-Pacific,Office Supplies,Art Supplies,Art Supplies Model 29,206.96,1,0.0,206.96,52.46,25.35
CA-2023-100007,2023-02-15,2023-02-18,Standard Class,CU-1108,Home Office,Asia-Pacific,Electronics,Monitors,Monitors Model 51,1792.43,8,0.0,1792.43,753.78,42.05
CA-2022-100008,2024-02-02,2024-02-07,First Class,CU-1382,Home Office,Latam,Office Supplies,Storage,Storage Model 47,69.7,3,0.2,55.76,10.59,18.99
CA-2022-100009,2024-05-31,2024-06-01,Second Class,CU-1321,Consumer,Latam,Office Supplies,Paper,Paper Model 50,117.58,8,0.2,94.06,26.41,28.08
CA-2024-100010,2024-05-31,2024-06-01,Standard Class,CU-1349,Home Office,Asia-Pacific,Office Supplies,Pens,Pens Model 15,91.58,3,0.1,82.42,36.54,44.33
CA-2024-100011,2024-06-15,2024-06-21,First Class,CU-1497,Home Office,Europe,Office Supplies,Paper,Paper Model 81,93.04,9,0.2,74.43,22.36,30.04
CA-2023-100012,2024-02-20,2024-02-22,Standard Class,CU-1306,Corporate,Latam,Electronics,Laptops,Laptops Model 47,1781.7,5,0.0,1781.7,859.89,48.26
CA-2024-100013,2024-08-27,2024-08-28,Standard Class,CU-1374,Corporate,North America,Office Supplies,Binders,Binders Model 17,199.63,9,0.0,199.63,83.94,42.05
CA-2024-100014,2023-03-10,2023-03-12,Second Class,CU-1365,Corporate,Latam,Office Supplies,Pens,Pens Model 57,270.39,8,0.0,270.39,115.09,42.56
CA-2022-100015,2022-12-13,2022-12-18,Second Class,CU-1301,Consumer,North America,Electronics,Laptops,Laptops Model 30,321.32,1,0.0,321.32,153.83,47.87
CA-2022-100016,2022-10-13,2022-10-19,Same Day,CU-1109,Home Office,Europe,Office Supplies,Art Supplies,Art Supplies Model 74,144.44,8,0.1,130.0,49.53,38.1
CA-2022-100017,2023-11-06,2023-11-10,Same Day,CU-1239,Home Office,North America,Office Supplies,Paper,Paper Model 8,123.77,6,0.0,123.77,52.65,42.54
CA-2022-100018,2023-07-04,2023-07-08,Second Class,CU-1216,Consumer,Asia-Pacific,Furniture,Tables,Tables Model 10,720.38,9,0.0,720.38,349.26,48.48
CA-2024-100019,2024-05-06,2024-05-07,Standard Class,CU-1474,Consumer,Europe,Furniture,Sofas,Sofas Model 62,399.25,7,0.0,399.25,179.91,45.06
CA-2022-100020,2023-02-04,2023-02-07,Same Day,CU-1146,Corporate,Emea,Office Supplies,Storage,Storage Model 20,61.02,4,0.0,61.02,19.91,32.63
CA-2024-100021,2022-03-04,2022-03-10,First Class,CU-1029,Consumer,Emea,Furniture,Office Desks,Office Desks Model 68,320.41,9,0.0,320.41,78.37,24.46
CA-2022-100022,2023-09-02,2023-09-03,Second Class,CU-1206,Consumer,Emea,Electronics,Accessories,Accessories Model 77,271.53,2,0.1,244.38,55.06,22.53
CA-2024-100023,2023-06-20,2023-06-23,First Class,CU-1104,Home Office,Asia-Pacific,Electronics,Tablets,Tablets Model 51,435.58,5,0.1,392.02,132.92,33.91
CA-2022-100024,2022-01-10,2022-01-14,Standard Class,CU-1037,Home Office,Europe,Office Supplies,Pens,Pens Model 17,280.31,2,0.0,280.31,109.08,38.91
CA-2022-100025,2023-03-25,2023-04-01,First Class,CU-1313,Home Office,Emea,Electronics,Accessories,Accessories Model 39,1877.16,2,0.0,1877.16,789.65,42.07
CA-2022-100026,2024-01-31,2024-02-05,Second Class,CU-1139,Corporate,Emea,Electronics,Tablets,Tablets Model 27,1437.49,5,0.2,1149.99,220.57,19.18
CA-2022-100027,2022-04-05,2022-04-11,Same Day,CU-1424,Corporate,North America,Electronics,Tablets,Tablets Model 99,435.48,5,0.0,435.48,120.9,27.76
