Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2024-100000,2022-04-25,2022-04-26,First Class,CU-1125,Consumer,europe,Office Supplies,Paper,Paper Model 87,,9,0.0,72.16
CA-2022-100001,2022-01-31,2022-02-01,Second Class,CU-1119,Home Office,EMEA,Electronics,Accessories,Accessories Model 26,1488.84,9,0.1,497.08
CA-2024-100002,2022-10-12,2022-10-19,Standard Class,CU-1388,Consumer,LATAM,Furniture,Bookcases,Bookcases Model 20,401.44,6,0.0,189.55
CA-2022-100003,2023-01-03,2023-01-10,First Class,CU-1309,Corporate,North America,Office Supplies,Storage,Storage Model 69,41.82,7,0.0,13.98
CA-2024-100004,2023-09-26,2023-10-03,First Class,CU-1295,Consumer,North America,Electronics,Smartphones,Smartphones Model 99,720.9,2,0.0,173.06
CA-2023-100005,2022-10-12,2022-10-16,First Class,CU-1083,Corporate,Asia-Pacific,Electronics,Tablets,Tablets Model 90,1885.98,2,0.2,206.53
CA-2024-100006,2024-01-17,2024-01-19,Second Class,CU-1236,Corporate,Asia-Pacific,Office Supplies,Art Supplies,Art Supplies Model 29,206.96,1,0.0,52.46
CA-2023-100007,2023-02-15,2023-02-18,Standard Class,CU-1108,Home Office,Asia-Pacific,Electronics,Monitors,Monitors Model 51,1792.43,8,0.0,753.78
CA-2022-100008,2024-02-02,2024-02-07,First Class,CU-1382,Home Office,LATAM,Office Supplies,Storage,Storage Model 47,69.7,3,0.2,10.59
CA-2022-100009,2024-05-31,2024-06-01,Second Class,CU-1321,Consumer,LATAM,Office Supplies,Paper,Paper Model 50,117.58,8,0.2,26.41
CA-2024-100010,2024-05-31,2024-06-01,Standard Class,CU-1349,Home Office,Asia-Pacific,Office Supplies,Pens,Pens Model 15,91.58,3,0.1,36.54
CA-2024-100011,2024-06-15,2024-06-21,First Class,CU-1497,Home Office,Europe,Office Supplies,Paper,Paper Model 81,93.04,9,0.2,22.36
CA-2023-100012,2024-02-20,2024-02-22,Standard Class,CU-1306,Corporate,LATAM,Electronics,Laptops,Laptops Model 47,1781.7,5,0.0,859.89
CA-2024-100013,2024-08-27,2024-08-28,Standard Class,CU-1374,Corporate,North America,Office Supplies,Binders,Binders Model 17,199.63,9,0.0,83.94
CA-2024-100014,2023-03-10,2023-03-12,Second Class,CU-1365,Corporate,LATAM,Office Supplies,Pens,Pens Model 57,270.39,8,0.0,115.09
CA-2022-100015,2022-12-13,2022-12-18,Second Class,CU-1301,Consumer,North America,Electronics,Laptops,Laptops Model 30,321.32,1,0.0,153.83
CA-2022-100016,2022-10-13,2022-10-19,Same Day,CU-1109,Home Office,Europe,Office Supplies,Art Supplies,Art Supplies Model 74,144.44,8,0.1,49.53
CA-2022-100017,2023-11-06,2023-11-10,Same Day,CU-1239,Home Office,North America,Office Supplies,Paper,Paper Model 8,123.77,6,0.0,52.65
CA-2022-100018,2023-07-04,2023-07-08,Second Class,CU-1216,Consumer,Asia-Pacific,Furniture,Tables,Tables Model 10,720.38,9,0.0,349.26
